time, current_loop, loop_latency, logic_execution_time, tank_input_valve_status(0), tank_input_valve_mode(1), tank_level_value(2), tank_level_min(3), tank_level_max(4), tank_output_valve_status(5), tank_output_valve_mode(6), tank_output_flow_value(7), 
2026-06-11 15:32:12.212580, 1781163132200, 2, 8, 1.0, 3.0, 5.806666666666666, 3.0, 7.0, 1.0, 3.0, 0.0, 
2026-06-11 15:32:12.427805, 1781163132400, 7, 20, 1.0, 3.0, 5.819999999999998, 3.0, 7.0, 1.0, 3.0, 0.0001, 
2026-06-11 15:32:12.624529, 1781163132600, 4, 20, 1.0, 3.0, 5.8266666666666636, 3.0, 7.0, 1.0, 3.0, 0.0001, 
2026-06-11 15:32:12.813411, 1781163132800, 3, 10, 1.0, 3.0, 5.833333333333329, 3.0, 7.0, 1.0, 3.0, 0.0001, 
2026-06-11 15:32:13.002155, 1781163133000, 0, 1, 1.0, 3.0, 5.836666666666662, 3.0, 7.0, 1.0, 3.0, 0.0001, 
2026-06-11 15:32:13.221520, 1781163133200, 1, 20, 1.0, 3.0, 5.84666666666666, 3.0, 7.0, 1.0, 3.0, 0.0001, 
2026-06-11 15:32:13.404770, 1781163133400, 3, 1, 1.0, 3.0, 5.849999999999992, 3.0, 7.0, 1.0, 3.0, 0.0001, 
2026-06-11 15:32:13.602091, 1781163133600, 0, 2, 1.0, 3.0, 5.856666666666658, 3.0, 7.0, 1.0, 3.0, 0.0001, 
2026-06-11 15:32:13.825158, 1781163133800, 4, 20, 1.0, 3.0, 5.866666666666656, 3.0, 7.0, 1.0, 3.0, 0.0001, 
2026-06-11 15:32:14.001714, 1781163134000, 0, 1, 1.0, 3.0, 5.869999999999988, 3.0, 7.0, 1.0, 3.0, 0.0001, 
2026-06-11 15:32:14.226854, 1781163134200, 6, 20, 1.0, 3.0, 5.879999999999986, 3.0, 7.0, 1.0, 3.0, 0.0001, 
2026-06-11 15:32:14.403667, 1781163134400, 2, 1, 1.0, 3.0, 5.883333333333319, 3.0, 7.0, 1.0, 3.0, 0.0001, 
2026-06-11 15:32:14.622019, 1781163134600, 7, 14, 1.0, 3.0, 5.893333333333317, 3.0, 7.0, 1.0, 3.0, 0.0001, 
