time, current_loop, loop_latency, logic_execution_time, conveyor_belt_engine_status(8), conveyor_belt_engine_mode(9), bottle_level_value(10), bottle_level_max(11), bottle_distance_to_filler_value(12), 
2026-06-11 15:32:12.213736, 1781163132200, 9, 2, 0.0, 3.0, 0.0, 1.8, 0.0, 
2026-06-11 15:32:12.421741, 1781163132400, 12, 9, 0.0, 3.0, 0.013333333333333334, 1.8, 0.0, 
2026-06-11 15:32:12.601870, 1781163132600, 1, 1, 0.0, 3.0, 0.02666666666666667, 1.8, 0.0, 
2026-06-11 15:32:12.815062, 1781163132800, 14, 1, 0.0, 3.0, 0.06666666666666667, 1.8, 0.0, 
2026-06-11 15:32:13.017639, 1781163133000, 13, 4, 0.0, 3.0, 0.09333333333333332, 1.8, 0.0, 
2026-06-11 15:32:13.222793, 1781163133200, 2, 19, 0.0, 3.0, 0.11999999999999998, 1.8, 0.0, 
2026-06-11 15:32:13.416736, 1781163133400, 13, 3, 0.0, 3.0, 0.14666666666666664, 1.8, 0.0, 
2026-06-11 15:32:13.616238, 1781163133600, 6, 10, 0.0, 3.0, 0.1733333333333333, 1.8, 0.0, 
2026-06-11 15:32:13.820971, 1781163133800, 11, 9, 0.0, 3.0, 0.19999999999999998, 1.8, 0.0, 
2026-06-11 15:32:14.022290, 1781163134000, 13, 9, 0.0, 3.0, 0.22666666666666668, 1.8, 0.0, 
2026-06-11 15:32:14.217939, 1781163134200, 9, 9, 0.0, 3.0, 0.25333333333333335, 1.8, 0.0, 
2026-06-11 15:32:14.417245, 1781163134400, 13, 4, 0.0, 3.0, 0.28, 1.8, 0.0, 
2026-06-11 15:32:14.623020, 1781163134600, 7, 14, 0.0, 3.0, 0.3066666666666667, 1.8, 0.0, 
2026-06-11 15:32:14.822176, 1781163134800, 13, 9, 0.0, 3.0, 0.3333333333333334, 1.8, 0.0, 
2026-06-11 15:32:15.017253, 1781163135000, 13, 4, 0.0, 3.0, 0.3600000000000001, 1.8, 0.0, 
2026-06-11 15:32:15.213312, 1781163135200, 12, 1, 0.0, 3.0, 0.38666666666666677, 1.8, 0.0, 
2026-06-11 15:32:15.421938, 1781163135400, 2, 20, 0.0, 3.0, 0.4133333333333335, 1.8, 0.0, 
2026-06-11 15:32:15.603548, 1781163135600, 2, 1, 0.0, 3.0, 0.4266666666666668, 1.8, 0.0, 
2026-06-11 15:32:15.820240, 1781163135800, 0, 20, 0.0, 3.0, 0.46666666666666684, 1.8, 0.0, 
2026-06-11 15:32:16.020755, 1781163136000, 14, 5, 0.0, 3.0, 0.49333333333333357, 1.8, 0.0, 
2026-06-11 15:32:16.216088, 1781163136200, 12, 4, 0.0, 3.0, 0.5200000000000004, 1.8, 0.0, 
2026-06-11 15:32:16.419004, 1781163136400, 15, 4, 0.0, 3.0, 0.546666666666667, 1.8, 0.0, 
2026-06-11 15:32:16.617760, 1781163136600, 8, 9, 0.0, 3.0, 0.5733333333333337, 1.8, 0.0, 
2026-06-11 15:32:16.821243, 1781163136800, 1, 20, 0.0, 3.0, 0.6000000000000004, 1.8, 0.0, 
2026-06-11 15:32:17.019474, 1781163137000, 15, 4, 0.0, 3.0, 0.626666666666667, 1.8, 0.0, 
2026-06-11 15:32:17.217094, 1781163137200, 15, 2, 0.0, 3.0, 0.6533333333333338, 1.8, 0.0, 
2026-06-11 15:32:17.418018, 1781163137400, 16, 2, 0.0, 3.0, 0.6800000000000005, 1.8, 0.0, 
2026-06-11 15:32:17.604499, 1781163137600, 1, 2, 0.0, 3.0, 0.6933333333333338, 1.8, 0.0, 
2026-06-11 15:32:17.801861, 1781163137800, 0, 1, 0.0, 3.0, 0.7200000000000005, 1.8, 0.0, 
2026-06-11 15:32:18.018841, 1781163138000, 14, 4, 0.0, 3.0, 0.7600000000000006, 1.8, 0.0, 
2026-06-11 15:32:18.219071, 1781163138200, 14, 5, 0.0, 3.0, 0.7866666666666672, 1.8, 0.0, 
2026-06-11 15:32:18.420125, 1781163138400, 16, 4, 0.0, 3.0, 0.8133333333333339, 1.8, 0.0, 
2026-06-11 15:32:18.628085, 1781163138600, 5, 23, 0.0, 3.0, 0.8400000000000006, 1.8, 0.0, 
2026-06-11 15:32:18.816762, 1781163138800, 15, 1, 0.0, 3.0, 0.8666666666666673, 1.8, 0.0, 
2026-06-11 15:32:19.016419, 1781163139000, 15, 1, 0.0, 3.0, 0.893333333333334, 1.8, 0.0, 
2026-06-11 15:32:19.214885, 1781163139200, 14, 0, 0.0, 3.0, 0.9200000000000007, 1.8, 0.0, 
2026-06-11 15:32:19.420205, 1781163139400, 16, 4, 0.0, 3.0, 0.9466666666666673, 1.8, 0.0, 
2026-06-11 15:32:19.627390, 1781163139600, 7, 20, 0.0, 3.0, 0.973333333333334, 1.8, 0.0, 
2026-06-11 15:32:19.804433, 1781163139800, 0, 1, 0.0, 3.0, 0.9866666666666674, 1.8, 0.0, 
2026-06-11 15:32:20.020511, 1781163140000, 0, 20, 0.0, 3.0, 1.0266666666666673, 1.8, 0.0, 
2026-06-11 15:32:20.217296, 1781163140200, 12, 5, 0.0, 3.0, 1.053333333333334, 1.8, 0.0, 
2026-06-11 15:32:20.418933, 1781163140400, 15, 4, 0.0, 3.0, 1.0800000000000007, 1.8, 0.0, 
2026-06-11 15:32:20.627002, 1781163140600, 5, 2, 0.0, 3.0, 1.1066666666666674, 1.8, 0.0, 
2026-06-11 15:32:20.802380, 1781163140800, 1, 1, 0.0, 3.0, 1.1200000000000008, 1.8, 0.0, 
2026-06-11 15:32:21.014620, 1781163141000, 5, 9, 0.0, 3.0, 1.1600000000000008, 1.8, 0.0, 
2026-06-11 15:32:21.225500, 1781163141200, 6, 19, 0.0, 3.0, 1.1866666666666674, 1.8, 0.0, 
2026-06-11 15:32:21.401541, 1781163141400, 0, 1, 0.0, 3.0, 1.2000000000000008, 1.8, 0.0, 
2026-06-11 15:32:21.621169, 1781163141600, 1, 20, 0.0, 3.0, 1.2400000000000009, 1.8, 0.0, 
2026-06-11 15:32:21.822184, 1781163141800, 1, 21, 0.0, 3.0, 1.2666666666666675, 1.8, 0.0, 
2026-06-11 15:32:22.016242, 1781163142000, 6, 10, 0.0, 3.0, 1.2933333333333341, 1.8, 0.0, 
2026-06-11 15:32:22.221534, 1781163142200, 0, 20, 0.0, 3.0, 1.320000000000001, 1.8, 0.0, 
2026-06-11 15:32:22.422849, 1781163142400, 10, 13, 0.0, 3.0, 1.3466666666666676, 1.8, 0.0, 
2026-06-11 15:32:22.624675, 1781163142600, 15, 9, 0.0, 3.0, 1.3733333333333342, 1.8, 0.0, 
2026-06-11 15:32:22.816880, 1781163142800, 14, 2, 0.0, 3.0, 1.400000000000001, 1.8, 0.0, 
2026-06-11 15:32:23.019666, 1781163143000, 15, 4, 0.0, 3.0, 1.4266666666666676, 1.8, 0.0, 
2026-06-11 15:32:23.215962, 1781163143200, 15, 1, 0.0, 3.0, 1.4533333333333343, 1.8, 0.0, 
2026-06-11 15:32:23.419975, 1781163143400, 16, 4, 0.0, 3.0, 1.480000000000001, 1.8, 0.0, 
2026-06-11 15:32:23.612941, 1781163143600, 9, 4, 0.0, 3.0, 1.5066666666666677, 1.8, 0.0, 
2026-06-11 15:32:23.803127, 1781163143800, 1, 2, 0.0, 3.0, 1.5200000000000011, 1.8, 0.0, 
2026-06-11 15:32:24.031363, 1781163144000, 11, 20, 0.0, 3.0, 1.5600000000000012, 1.8, 0.0, 
2026-06-11 15:32:24.217134, 1781163144200, 8, 9, 0.0, 3.0, 1.5866666666666678, 1.8, 0.0, 
2026-06-11 15:32:24.422338, 1781163144400, 2, 20, 0.0, 3.0, 1.6133333333333344, 1.8, 0.0, 
2026-06-11 15:32:24.622983, 1781163144600, 3, 20, 0.0, 3.0, 1.6400000000000012, 1.8, 0.0, 
2026-06-11 15:32:24.820217, 1781163144800, 10, 10, 0.0, 3.0, 1.6666666666666679, 1.8, 0.0, 
2026-06-11 15:32:25.019238, 1781163145000, 10, 9, 0.0, 3.0, 1.6933333333333345, 1.8, 0.0, 
2026-06-11 15:32:25.215385, 1781163145200, 11, 4, 0.0, 3.0, 1.7200000000000013, 1.8, 0.0, 
2026-06-11 15:32:25.421056, 1781163145400, 10, 11, 0.0, 3.0, 1.746666666666668, 1.8, 0.0, 
2026-06-11 15:32:25.619993, 1781163145600, 11, 9, 0.0, 3.0, 1.7733333333333345, 1.8, 0.0, 
2026-06-11 15:32:25.814885, 1781163145800, 11, 4, 0.0, 3.0, 1.8000000000000014, 1.8, 0.0, 
2026-06-11 15:32:26.020764, 1781163146000, 11, 9, 0.0, 3.0, 1.826666666666668, 1.8, 0.0, 
2026-06-11 15:32:26.230155, 1781163146200, 10, 20, 0.0, 3.0, 1.8533333333333346, 1.8, 0.0, 
2026-06-11 15:32:26.411011, 1781163146400, 10, 1, 0.0, 3.0, 1.8533333333333346, 1.8, 0.0, 
2026-06-11 15:32:26.606426, 1781163146600, 1, 5, 1.0, 3.0, 1.8533333333333346, 1.8, 0.0, 
2026-06-11 15:32:26.821990, 1781163146800, 0, 20, 1.0, 3.0, 0.0, 1.8, 19.0, 
2026-06-11 15:32:27.017895, 1781163147000, 8, 9, 1.0, 3.0, 0.0, 1.8, 18.0, 
2026-06-11 15:32:27.214882, 1781163147200, 11, 4, 1.0, 3.0, 0.0, 1.8, 17.0, 
2026-06-11 15:32:27.420654, 1781163147400, 11, 9, 1.0, 3.0, 0.0, 1.8, 16.0, 
2026-06-11 15:32:27.622268, 1781163147600, 10, 3, 1.0, 3.0, 0.0, 1.8, 15.0, 
2026-06-11 15:32:27.819082, 1781163147800, 10, 9, 1.0, 3.0, 0.0, 1.8, 14.0, 
2026-06-11 15:32:28.020720, 1781163148000, 11, 9, 1.0, 3.0, 0.0, 1.8, 13.0, 
2026-06-11 15:32:28.217681, 1781163148200, 8, 9, 1.0, 3.0, 0.0, 1.8, 12.0, 
2026-06-11 15:32:28.419914, 1781163148400, 10, 10, 1.0, 3.0, 0.0, 1.8, 11.0, 
2026-06-11 15:32:28.620168, 1781163148600, 10, 10, 1.0, 3.0, 0.0, 1.8, 10.0, 
2026-06-11 15:32:28.823085, 1781163148800, 3, 20, 1.0, 3.0, 0.0, 1.8, 9.0, 
2026-06-11 15:32:29.023340, 1781163149000, 1, 19, 1.0, 3.0, 0.0, 1.8, 8.0, 
2026-06-11 15:32:29.216902, 1781163149200, 7, 10, 1.0, 3.0, 0.0, 1.8, 7.0, 
2026-06-11 15:32:29.421842, 1781163149400, 11, 9, 1.0, 3.0, 0.0, 1.8, 6.0, 
2026-06-11 15:32:29.602914, 1781163149600, 1, 0, 1.0, 3.0, 0.0, 1.8, 5.5, 
2026-06-11 15:32:29.813888, 1781163149800, 12, 2, 1.0, 3.0, 0.0, 1.8, 4.0, 
2026-06-11 15:32:30.027018, 1781163150000, 11, 13, 1.0, 3.0, 0.0, 1.8, 3.0, 
2026-06-11 15:32:30.217462, 1781163150200, 8, 9, 1.0, 3.0, 0.0, 1.8, 2.0, 
2026-06-11 15:32:30.421155, 1781163150400, 10, 10, 0.0, 3.0, 0.0, 1.8, 1.0, 
2026-06-11 15:32:30.622022, 1781163150600, 2, 0, 0.0, 3.0, 0.0, 1.8, 1.0, 
2026-06-11 15:32:30.814865, 1781163150800, 11, 3, 0.0, 3.0, 0.013333333333333334, 1.8, 1.0, 
2026-06-11 15:32:31.024535, 1781163151000, 3, 21, 0.0, 3.0, 0.04, 1.8, 1.0, 
2026-06-11 15:32:31.222012, 1781163151200, 0, 20, 0.0, 3.0, 0.06666666666666667, 1.8, 1.0, 
2026-06-11 15:32:31.415169, 1781163151400, 5, 10, 0.0, 3.0, 0.09333333333333332, 1.8, 1.0, 
2026-06-11 15:32:31.606126, 1781163151600, 2, 4, 0.0, 3.0, 0.10666666666666665, 1.8, 1.0, 
2026-06-11 15:32:31.812642, 1781163151800, 12, 0, 0.0, 3.0, 0.14666666666666664, 1.8, 1.0, 
2026-06-11 15:32:32.014839, 1781163152000, 11, 4, 0.0, 3.0, 0.1733333333333333, 1.8, 1.0, 
2026-06-11 15:32:32.214773, 1781163152200, 5, 9, 0.0, 3.0, 0.19999999999999998, 1.8, 1.0, 
2026-06-11 15:32:32.417762, 1781163152400, 9, 8, 0.0, 3.0, 0.22666666666666668, 1.8, 1.0, 
2026-06-11 15:32:32.601519, 1781163152600, 1, 0, 0.0, 3.0, 0.24000000000000002, 1.8, 1.0, 
2026-06-11 15:32:32.818262, 1781163152800, 9, 9, 0.0, 3.0, 0.28, 1.8, 1.0, 
2026-06-11 15:32:33.018960, 1781163153000, 8, 9, 0.0, 3.0, 0.3066666666666667, 1.8, 1.0, 
2026-06-11 15:32:33.224590, 1781163153200, 4, 20, 0.0, 3.0, 0.3333333333333334, 1.8, 1.0, 
2026-06-11 15:32:33.421499, 1781163153400, 1, 20, 0.0, 3.0, 0.3600000000000001, 1.8, 1.0, 
2026-06-11 15:32:33.601325, 1781163153600, 0, 1, 0.0, 3.0, 0.37333333333333346, 1.8, 1.0, 
2026-06-11 15:32:33.818045, 1781163153800, 9, 9, 0.0, 3.0, 0.4133333333333335, 1.8, 1.0, 
2026-06-11 15:32:34.001634, 1781163154000, 1, 0, 0.0, 3.0, 0.4266666666666668, 1.8, 1.0, 
2026-06-11 15:32:34.213938, 1781163154200, 5, 9, 0.0, 3.0, 0.46666666666666684, 1.8, 1.0, 
2026-06-11 15:32:34.412767, 1781163154400, 9, 3, 0.0, 3.0, 0.49333333333333357, 1.8, 1.0, 
2026-06-11 15:32:34.601521, 1781163154600, 0, 1, 0.0, 3.0, 0.5066666666666669, 1.8, 1.0, 
2026-06-11 15:32:34.818147, 1781163154800, 9, 9, 0.0, 3.0, 0.546666666666667, 1.8, 1.0, 
2026-06-11 15:32:35.018036, 1781163155000, 9, 9, 0.0, 3.0, 0.5733333333333337, 1.8, 1.0, 
2026-06-11 15:32:35.214156, 1781163155200, 5, 9, 0.0, 3.0, 0.6000000000000004, 1.8, 1.0, 
2026-06-11 15:32:35.413172, 1781163155400, 9, 4, 0.0, 3.0, 0.626666666666667, 1.8, 1.0, 
2026-06-11 15:32:35.621708, 1781163155600, 1, 2, 0.0, 3.0, 0.6533333333333338, 1.8, 1.0, 
2026-06-11 15:32:35.822759, 1781163155800, 2, 0, 0.0, 3.0, 0.6800000000000005, 1.8, 1.0, 
2026-06-11 15:32:36.001406, 1781163156000, 0, 1, 0.0, 3.0, 0.6933333333333338, 1.8, 1.0, 
2026-06-11 15:32:36.202132, 1781163156200, 0, 1, 0.0, 3.0, 0.7200000000000005, 1.8, 1.0, 
2026-06-11 15:32:36.404100, 1781163156400, 1, 3, 0.0, 3.0, 0.7466666666666671, 1.8, 1.0, 
2026-06-11 15:32:36.626111, 1781163156600, 2, 23, 0.0, 3.0, 0.7866666666666672, 1.8, 1.0, 
2026-06-11 15:32:36.803237, 1781163156800, 2, 1, 0.0, 3.0, 0.8000000000000006, 1.8, 1.0, 
2026-06-11 15:32:37.018349, 1781163157000, 9, 9, 0.0, 3.0, 0.8400000000000006, 1.8, 1.0, 
2026-06-11 15:32:37.217649, 1781163157200, 8, 9, 0.0, 3.0, 0.8666666666666673, 1.8, 1.0, 
2026-06-11 15:32:37.419051, 1781163157400, 8, 10, 0.0, 3.0, 0.893333333333334, 1.8, 1.0, 
2026-06-11 15:32:37.624853, 1781163157600, 5, 20, 0.0, 3.0, 0.9200000000000007, 1.8, 1.0, 
2026-06-11 15:32:37.817406, 1781163157800, 8, 9, 0.0, 3.0, 0.9466666666666673, 1.8, 1.0, 
2026-06-11 15:32:38.003623, 1781163158000, 3, 0, 0.0, 3.0, 0.9600000000000007, 1.8, 1.0, 
2026-06-11 15:32:38.222852, 1781163158200, 3, 20, 0.0, 3.0, 1.0000000000000007, 1.8, 1.0, 
2026-06-11 15:32:38.413398, 1781163158400, 4, 9, 0.0, 3.0, 1.0266666666666673, 1.8, 1.0, 
2026-06-11 15:32:38.608209, 1781163158600, 2, 3, 0.0, 3.0, 1.0400000000000007, 1.8, 1.0, 
2026-06-11 15:32:38.824061, 1781163158800, 2, 22, 0.0, 3.0, 1.0800000000000007, 1.8, 1.0, 
2026-06-11 15:32:39.024954, 1781163159000, 2, 21, 0.0, 3.0, 1.1066666666666674, 1.8, 1.0, 
2026-06-11 15:32:39.224269, 1781163159200, 0, 3, 0.0, 3.0, 1.133333333333334, 1.8, 1.0, 
2026-06-11 15:32:39.404448, 1781163159400, 1, 2, 0.0, 3.0, 1.1466666666666674, 1.8, 1.0, 
2026-06-11 15:32:39.605248, 1781163159600, 1, 1, 0.0, 3.0, 1.173333333333334, 1.8, 1.0, 
2026-06-11 15:32:39.814162, 1781163159800, 2, 11, 0.0, 3.0, 1.213333333333334, 1.8, 1.0, 
2026-06-11 15:32:40.023565, 1781163160000, 2, 21, 0.0, 3.0, 1.2400000000000009, 1.8, 1.0, 
2026-06-11 15:32:40.221226, 1781163160200, 0, 1, 0.0, 3.0, 1.2666666666666675, 1.8, 1.0, 
2026-06-11 15:32:40.404254, 1781163160400, 1, 2, 0.0, 3.0, 1.280000000000001, 1.8, 1.0, 
2026-06-11 15:32:40.602073, 1781163160600, 0, 1, 0.0, 3.0, 1.3066666666666675, 1.8, 1.0, 
2026-06-11 15:32:40.821749, 1781163160800, 2, 19, 0.0, 3.0, 1.3466666666666676, 1.8, 1.0, 
2026-06-11 15:32:41.024050, 1781163161000, 2, 2, 0.0, 3.0, 1.3733333333333342, 1.8, 1.0, 
2026-06-11 15:32:41.204965, 1781163161200, 1, 1, 0.0, 3.0, 1.3866666666666676, 1.8, 1.0, 
2026-06-11 15:32:41.405241, 1781163161400, 2, 3, 0.0, 3.0, 1.4133333333333342, 1.8, 1.0, 
2026-06-11 15:32:41.601899, 1781163161600, 1, 1, 0.0, 3.0, 1.440000000000001, 1.8, 1.0, 
2026-06-11 15:32:41.804127, 1781163161800, 2, 1, 0.0, 3.0, 1.4666666666666677, 1.8, 1.0, 
2026-06-11 15:32:42.004861, 1781163162000, 1, 2, 0.0, 3.0, 1.4933333333333343, 1.8, 1.0, 
2026-06-11 15:32:42.224373, 1781163162200, 4, 20, 0.0, 3.0, 1.5333333333333343, 1.8, 1.0, 
2026-06-11 15:32:42.401673, 1781163162400, 0, 1, 0.0, 3.0, 1.5466666666666677, 1.8, 1.0, 
2026-06-11 15:32:42.608982, 1781163162600, 2, 5, 0.0, 3.0, 1.5866666666666678, 1.8, 1.0, 
2026-06-11 15:32:42.824344, 1781163162800, 2, 22, 0.0, 3.0, 1.6133333333333344, 1.8, 1.0, 
2026-06-11 15:32:43.022855, 1781163163000, 1, 20, 0.0, 3.0, 1.6400000000000012, 1.8, 1.0, 
2026-06-11 15:32:43.204954, 1781163163200, 2, 0, 0.0, 3.0, 1.6666666666666679, 1.8, 1.0, 
2026-06-11 15:32:43.421064, 1781163163400, 1, 20, 0.0, 3.0, 1.6933333333333345, 1.8, 1.0, 
2026-06-11 15:32:43.610575, 1781163163600, 1, 9, 0.0, 3.0, 1.7066666666666679, 1.8, 1.0, 
2026-06-11 15:32:43.822834, 1781163163800, 2, 21, 0.0, 3.0, 1.746666666666668, 1.8, 1.0, 
2026-06-11 15:32:44.006774, 1781163164000, 2, 1, 0.0, 3.0, 1.7733333333333345, 1.8, 1.0, 
2026-06-11 15:32:44.220312, 1781163164200, 0, 20, 0.0, 3.0, 1.8000000000000014, 1.8, 1.0, 
2026-06-11 15:32:44.423650, 1781163164400, 1, 2, 0.0, 3.0, 1.826666666666668, 1.8, 1.0, 
2026-06-11 15:32:44.602041, 1781163164600, 1, 1, 0.0, 3.0, 1.8400000000000014, 1.8, 1.0, 
2026-06-11 15:32:44.803073, 1781163164800, 1, 2, 0.0, 3.0, 1.866666666666668, 1.8, 1.0, 
2026-06-11 15:32:45.012179, 1781163165000, 3, 7, 1.0, 3.0, 1.866666666666668, 1.8, 1.0, 
2026-06-11 15:32:45.212435, 1781163165200, 2, 10, 1.0, 3.0, 1.866666666666668, 1.8, 19.5, 
2026-06-11 15:32:45.413685, 1781163165400, 2, 11, 1.0, 3.0, 0.0, 1.8, 18.5, 
2026-06-11 15:32:45.604471, 1781163165600, 2, 2, 1.0, 3.0, 0.0, 1.8, 18.0, 
2026-06-11 15:32:45.801288, 1781163165800, 0, 1, 1.0, 3.0, 0.0, 1.8, 17.0, 
2026-06-11 15:32:46.001882, 1781163166000, 1, 0, 1.0, 3.0, 0.0, 1.8, 16.0, 
2026-06-11 15:32:46.203196, 1781163166200, 0, 1, 1.0, 3.0, 0.0, 1.8, 15.0, 
2026-06-11 15:32:46.414651, 1781163166400, 3, 3, 1.0, 3.0, 0.0, 1.8, 13.5, 
2026-06-11 15:32:46.610981, 1781163166600, 0, 11, 1.0, 3.0, 0.0, 1.8, 12.5, 
2026-06-11 15:32:46.809800, 1781163166800, 0, 9, 1.0, 3.0, 0.0, 1.8, 11.5, 
2026-06-11 15:32:47.004250, 1781163167000, 1, 3, 1.0, 3.0, 0.0, 1.8, 11.0, 
2026-06-11 15:32:47.204873, 1781163167200, 0, 2, 1.0, 3.0, 0.0, 1.8, 9.5, 
2026-06-11 15:32:47.401216, 1781163167400, 0, 1, 1.0, 3.0, 0.0, 1.8, 9.0, 
2026-06-11 15:32:47.602300, 1781163167600, 1, 1, 1.0, 3.0, 0.0, 1.8, 8.0, 
2026-06-11 15:32:47.815498, 1781163167800, 2, 9, 1.0, 3.0, 0.0, 1.8, 6.5, 
