# Changed 332 packets in the network 192.168.0.1/24:
sip:192.168.0.12 dip192.168.0.21 port:37494 command:3 address:0.0 value:3.0 time:3.3
sip:192.168.0.11 dip192.168.0.12 port:53666 command:3 address:0.0 value:0.0001 time:0.00011
sip:192.168.0.12 dip192.168.0.11 port:51516 command:3 address:0.0 value:1.0666 time:1.17326
sip:192.168.0.12 dip192.168.0.21 port:37494 command:3 address:0.0 value:1.0666 time:1.17326
sip:192.168.0.11 dip192.168.0.12 port:53666 command:3 address:0.0 value:0.0001 time:0.00011
sip:192.168.0.12 dip192.168.0.11 port:51516 command:3 address:0.0 value:0.5 time:0.55
sip:192.168.0.12 dip192.168.0.21 port:37494 command:3 address:0.0 value:1.8 time:1.98
sip:192.168.0.11 dip192.168.0.12 port:53666 command:3 address:0.0 value:0.0001 time:0.00011
sip:192.168.0.12 dip192.168.0.11 port:51516 command:3 address:0.0 value:1.8 time:1.98
sip:192.168.0.12 dip192.168.0.21 port:37494 command:3 address:0.0 value:0.5 time:0.55
sip:192.168.0.11 dip192.168.0.12 port:53666 command:3 address:0.0 value:0.0001 time:0.00011
sip:192.168.0.12 dip192.168.0.11 port:51516 command:3 address:0.0 value:1.1733 time:1.29063
sip:192.168.0.11 dip192.168.0.21 port:53866 command:3 address:0.0 value:1.0 time:1.1
sip:192.168.0.11 dip192.168.0.12 port:53666 command:3 address:0.0 value:0.0001 time:0.00011
sip:192.168.0.12 dip192.168.0.11 port:51516 command:3 address:0.0 value:0.5 time:0.55
sip:192.168.0.11 dip192.168.0.21 port:53866 command:3 address:0.0 value:3.0 time:3.3
sip:192.168.0.11 dip192.168.0.12 port:53666 command:3 address:0.0 value:0.0001 time:0.00011
sip:192.168.0.12 dip192.168.0.11 port:51516 command:3 address:0.0 value:1.8 time:1.98
sip:192.168.0.11 dip192.168.0.21 port:53866 command:3 address:0.0 value:4.1266 time:4.53926
sip:192.168.0.11 dip192.168.0.12 port:53666 command:3 address:0.0 value:0.0001 time:0.00011
sip:192.168.0.12 dip192.168.0.11 port:51516 command:3 address:0.0 value:1.2933 time:1.4226299999999998
sip:192.168.0.11 dip192.168.0.21 port:53866 command:3 address:0.0 value:3.0 time:3.3
